Symbol,Name
360ONE,360 ONE WAM Ltd.
3MINDIA,3M India Ltd.
ABB,ABB India Ltd.
ACC,ACC Ltd.
AGI,AGI Greenpac Ltd.
AIAENG,AIA Engineering Ltd.
APLAPOLLO,APL Apollo Tubes Ltd.
AUBANK,AU Small Finance Bank Ltd.
AARTIDRUGS,Aarti Drugs Ltd.
AARTIIND,Aarti Industries Ltd.
AARTIPHARM,Aarti Pharmalabs Ltd.
AAVAS,Aavas Financiers Ltd.
ABBOTINDIA,Abbott India Ltd.
ACCELYA,Accelya Solutions India Ltd.
ACE,Action Construction Equipment Ltd.
ADANIENSOL,Adani Energy Solutions Ltd.
ADANIENT,Adani Enterprises Ltd.
ADANIGREEN,Adani Green Energy Ltd.
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.
ADANIPOWER,Adani Power Ltd.
ATGL,Adani Total Gas Ltd.
AWL,Adani Wilmar Ltd.
ABCAPITAL,Aditya Birla Capital Ltd.
ABFRL,Aditya Birla Fashion and Retail Ltd.
ADVENZYMES,Advanced Enzyme Tech Ltd.
AEGISCHEM,Aegis Logistics Ltd.
AETHER,Aether Industries Ltd.
AFFLE,Affle (India) Ltd.
AHLUCONT,Ahluwalia Contracts (India) Ltd.
AJANTPHARM,Ajanta Pharmaceuticals Ltd.
APLLTD,Alembic Pharmaceuticals Ltd.
ALKEM,Alkem Laboratories Ltd.
ALKYLAMINE,Alkyl Amines Chemicals Ltd.
ALLCARGO,Allcargo Logistics Ltd.
ALOKINDS,Alok Industries Ltd.
ARE&M,Amara Raja Energy & Mobility Ltd.
AMBER,Amber Enterprises India Ltd.
AMBUJACEM,Ambuja Cements Ltd.
AMIORG,Ami Organics Ltd.
ANANDRATHI,Anand Rathi Wealth Ltd.
ANANTRAJ,Anant Raj Ltd.
ANGELONE,Angel One Ltd.
ANURAS,Anupam Rasayan India Ltd.
APARINDS,Apar Industries Ltd.
APCOTEXIND,Apcotex Industries Ltd.
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.
APOLLOPIPE,Apollo Pipes Ltd.
APOLLOTYRE,Apollo Tyres Ltd.
APTUS,Aptus Value Housing Finance India Ltd.
ACI,Archean Chemical Industries Ltd.
ARVINDFASN,Arvind Fashions Ltd.
ARVIND,Arvind Ltd.
ASAHIINDIA,Asahi India Glass Ltd.
ASHOKLEY,Ashok Leyland Ltd.
ASHOKA,Ashoka Buildcon Ltd.
ASIANPAINT,Asian Paints Ltd.
ASTEC,Astec LifeSciences Ltd.
ASTERDM,Aster DM Healthcare Ltd.
ASTRAMICRO,Astra Microwave Products Ltd.
ASTRAZEN,AstraZenca Pharma India Ltd.
ASTRAL,Astral Ltd.
ATUL,Atul Ltd.
AUROPHARMA,Aurobindo Pharma Ltd.
AUTOAXLES,Automotive Axles Ltd.
AVALON,Avalon Technologies Ltd.
AVANTIFEED,Avanti Feeds Ltd.
DMART,Avenue Supermarts Ltd.
AXISBANK,Axis Bank Ltd.
BEML,BEML Ltd.
BLS,BLS International Services Ltd.
BSE,BSE Ltd.
BAJAJ-AUTO,Bajaj Auto Ltd.
BAJAJCON,Bajaj Consumer Care Ltd.
BAJFINANCE,Bajaj Finance Ltd.
BAJAJFINSV,Bajaj Finserv Ltd.
BAJAJHIND,Bajaj Hindusthan Sugar Ltd.
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.
BALAMINES,Balaji Amines Ltd.
BALKRISIND,Balkrishna Industries Ltd.
BALMLAWRIE,Balmer Lawrie & Co. Ltd.
BALRAMCHIN,Balrampur Chini Mills Ltd.
BANDHANBNK,Bandhan Bank Ltd.
BANKBARODA,Bank of Baroda
BANKINDIA,Bank of India
MAHABANK,Bank of Maharashtra
BARBEQUE,Barbeque Nation Hospitality Ltd.
BATAINDIA,Bata India Ltd.
BAYERCROP,Bayer Cropscience Ltd.
BERGEPAINT,Berger Paints India Ltd.
BEPL,Bhansali Engineering Polymers Ltd.
BDL,Bharat Dynamics Ltd.
BEL,Bharat Electronics Ltd.
BHARATFORG,Bharat Forge Ltd.
BHEL,Bharat Heavy Electricals Ltd.
BPCL,Bharat Petroleum Corporation Ltd.
BHARTIARTL,Bharti Airtel Ltd.
BIKAJI,Bikaji Foods International Ltd.
BIOCON,Biocon Ltd.
BIRLACORPN,Birla Corporation Ltd.
BSOFT,Birlasoft Ltd.
BLUEDART,Blue Dart Express Ltd.
BLUESTARCO,Blue Star Ltd.
BBTC,Bombay Burmah Trading Corporation Ltd.
BOMDYEING,Bombay Dyeing & Manufacturing Co. Ltd.
BORORENEW,Borosil Renewables Ltd.
BOSCHLTD,Bosch Ltd.
BRIGADE,Brigade Enterprises Ltd.
BCG,Brightcom Group Ltd.
BRITANNIA,Britannia Industries Ltd.
MAPMYINDIA,C.E. Info Systems Ltd.
CARERATING,CARE Ratings Ltd.
CCL,CCL Products (I) Ltd.
CESC,CESC Ltd.
CGPOWER,CG Power and Industrial Solutions Ltd.
CIEINDIA,CIE Automotive India Ltd.
CMSINFO,CMS Info Systems Ltd.
CRISIL,CRISIL Ltd.
CSBBANK,CSB Bank Ltd.
CAMLINFINE,Camlin Fine Sciences Ltd.
CAMPUS,Campus Activewear Ltd.
CANFINHOME,Can Fin Homes Ltd.
CANBK,Canara Bank
CAPLIPOINT,Caplin Point Laboratories Ltd.
CGCL,Capri Global Capital Ltd.
CARBORUNIV,Carborundum Universal Ltd.
CARTRADE,Cartrade Tech Ltd.
CARYSIL,Carysil Ltd.
CASTROLIND,Castrol India Ltd.
CEATLTD,Ceat Ltd.
CENTRALBK,Central Bank of India
CDSL,Central Depository Services (India) Ltd.
CENTURYPLY,Century Plyboards (India) Ltd.
CENTURYTEX,Century Textile & Industries Ltd.
CERA,Cera Sanitaryware Ltd
CHALET,Chalet Hotels Ltd.
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.
CHEMPLASTS,Chemplast Sanmar Ltd.
CHENNPETRO,Chennai Petroleum Corporation Ltd.
CHOICEIN,Choice International Ltd.
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.
CIGNITITEC,Cigniti Technologies Ltd.
CIPLA,Cipla Ltd.
CUB,City Union Bank Ltd.
CLEAN,Clean Science and Technology Ltd.
COALINDIA,Coal India Ltd.
COCHINSHIP,Cochin Shipyard Ltd.
COFORGE,Coforge Ltd.
COLPAL,Colgate Palmolive (India) Ltd.
CAMS,Computer Age Management Services Ltd.
CONCORDBIO,Concord Biotech Ltd.
CONFIPET,Confidence Petroleum India Ltd.
CONCOR,Container Corporation of India Ltd.
COROMANDEL,Coromandel International Ltd.
COSMOFIRST,Cosmo First Ltd.
CRAFTSMAN,Craftsman Automation Ltd.
CREDITACC,CreditAccess Grameen Ltd.
CROMPTON,Crompton Greaves Consumer Electricals Ltd.
CUMMINSIND,Cummins India Ltd.
CYIENT,Cyient Ltd.
DBREALTY,D B Realty Ltd.
DBCORP,D.B.Corp Ltd.
DCBBANK,DCB Bank Ltd.
DCMSHRIRAM,DCM Shriram Ltd.
DCXINDIA,DCX Systems Ltd.
DLF,DLF Ltd.
DABUR,Dabur India Ltd.
DALBHARAT,Dalmia Bharat Ltd.
DALMIASUG,Dalmia Bharat Sugar and Industries Ltd.
DATAPATTNS,Data Patterns (India) Ltd.
DATAMATICS,Datamatics Global Services Ltd.
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.
DEEPAKNTR,Deepak Nitrite Ltd.
DELHIVERY,Delhivery Ltd.
DELTACORP,Delta Corp Ltd.
DEN,Den Networks Ltd.
DEVYANI,Devyani International Ltd.
DHANI,Dhani Services Ltd.
DBL,Dilip Buildcon Ltd.
DISHTV,Dish TV India Ltd.
DCAL,Dishman Carbogen Amcis Ltd.
DIVGIITTS,Divgi Torqtransfer Systems Ltd.
DIVISLAB,Divi's Laboratories Ltd.
DIXON,Dixon Technologies (India) Ltd.
DODLA,Dodla Dairy Ltd.
DOLLAR,Dollar Industries Ltd.
LALPATHLAB,Dr. Lal Path Labs Ltd.
DRREDDY,Dr. Reddy's Laboratories Ltd.
DREAMFOLKS,Dreamfolks Services Ltd.
DWARKESH,Dwarikesh Sugar Industrial Ltd.
EIDPARRY,E.I.D. Parry (India) Ltd.
EIHOTEL,EIH Ltd.
EPL,EPL Ltd.
ESABINDIA,ESAB India Ltd.
EASEMYTRIP,Easy Trip Planners Ltd.
EDELWEISS,Edelweiss Financial Services Ltd.
EICHERMOT,Eicher Motors Ltd.
ELECON,Elecon Engineering Co. Ltd.
EMIL,Electronics Mart India Ltd.
ELECTCAST,Electrosteel Castings Ltd.
ELGIEQUIP,Elgi Equipments Ltd.
EMAMILTD,Emami Ltd.
ENDURANCE,Endurance Technologies Ltd.
ENGINERSIN,Engineers India Ltd.
EPIGRAL,Epigral Ltd.
